date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 18 2016,2016-02-18,6.358,,,,5.6871434699112795,0.8034159593441689,5.8849428537343895,243,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 19 2016,2016-02-19,6.02,0.23900209204105344,0.23900209204105316,0.23900209204105344,5.6871434699112795,0.8034159593441689,5.8849428537343895,248,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 20 2016,2016-02-20,6.374,0.19992331863325344,0.16993742727777517,0.19992331863325344,5.6871434699112795,0.8034159593441689,5.8849428537343895,189,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 21 2016,2016-02-21,6.161,0.16928157017230214,0.15860387526297964,0.16928157017230214,5.6871434699112795,0.8034159593441689,5.8849428537343895,166,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 22 2016,2016-02-22,6.207,0.1469098362942388,0.14474045172304292,0.1469098362942388,5.6871434699112795,0.8034159593441689,5.8849428537343895,111,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 23 2016,2016-02-23,6.81,0.27294443879051045,0.2179955105967731,0.27294443879051045,5.6871434699112795,0.8034159593441689,5.8849428537343895,93,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 24 2016,2016-02-24,6.336,0.2492219320777597,0.1982642103287609,0.2492219320777597,5.6871434699112795,0.8034159593441689,5.8849428537343895,97,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 25 2016,2016-02-25,6.408,0.23265102621738,0.18362714258115562,0.23265102621738,5.6871434699112795,0.8034159593441689,5.8849428537343895,109,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 26 2016,2016-02-26,5.531,0.34503731682239835,0.30597989011466675,0.34503731682239835,5.6871434699112795,0.8034159593441689,5.8849428537343895,164,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 27 2016,2016-02-27,4.977,0.5163383472965076,0.48860079067790185,0.5163383472965076,5.6871434699112795,0.8034159593441689,5.8849428537343895,204,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 28 2016,2016-02-28,5.203,0.5622182850103685,0.5466299069821217,0.5622182850103685,5.6871434699112795,0.8034159593441689,5.8849428537343895,133,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Feb 29 2016,2016-02-29,4.819,0.6407615261026003,0.6413527954682133,0.6407615261026003,5.6871434699112795,0.8034159593441689,5.8849428537343895,150,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 01 2016,2016-03-01,4.914,0.675528824187164,0.6887580958830122,0.675528824187164,5.6871434699112795,0.8034159593441689,5.8849428537343895,152,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 02 2016,2016-03-02,5.248,0.6690096994976813,0.6869815457935133,0.6690096994976813,5.6871434699112795,0.8034159593441689,5.8849428537343895,136,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 03 2016,2016-03-03,5.444,0.6516330767131657,0.6695537146193745,0.6516330767131657,5.6871434699112795,0.8034159593441689,5.8849428537343895,125,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 04 2016,2016-03-04,5.195,0.6467193846638585,0.668525481463942,0.6467193846638585,5.6871434699112795,0.8034159593441689,5.8849428537343895,148,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 05 2016,2016-03-05,4.955,0.6552196308917203,0.6845260089944154,0.6552196308917203,5.6871434699112795,0.8034159593441689,5.8849428537343895,236,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 06 2016,2016-03-06,4.691,0.6789812269392633,0.7194317860314666,0.6789812269392633,5.6871434699112795,0.8034159593441689,5.8849428537343895,172,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 07 2016,2016-03-07,4.514,0.7092243972213835,0.7611690773566572,0.7092243972213835,5.6871434699112795,0.8034159593441689,5.8849428537343895,163,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 08 2016,2016-03-08,4.627,0.7229566049436015,0.779070835057788,0.7229566049436015,5.6871434699112795,0.8034159593441689,5.8849428537343895,165,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 09 2016,2016-03-09,4.761,0.7248451295999454,0.7795347473911192,0.7248451295999454,5.6871434699112795,0.8034159593441689,5.8849428537343895,139,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 10 2016,2016-03-10,5.115,0.7121850287330638,0.7582529564757701,0.7121850287330638,5.6871434699112795,0.8034159593441689,5.8849428537343895,98,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 11 2016,2016-03-11,5.222,0.6979669743141156,0.7341212878565592,0.6979669743141156,5.6871434699112795,0.8034159593441689,5.8849428537343895,146,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 12 2016,2016-03-12,5.442,0.6826554077989138,0.7076731920946148,0.6826554077989138,5.6871434699112795,0.8034159593441689,5.8849428537343895,136,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 13 2016,2016-03-13,5.572,0.6685803167907352,0.6827383696709378,0.6685803167907352,5.6871434699112795,0.8034159593441689,5.8849428537343895,128,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 14 2016,2016-03-14,5.403,0.6552293608993839,0.6589927635032753,0.6552293608993839,5.6871434699112795,0.8034159593441689,5.8849428537343895,115,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 15 2016,2016-03-15,5.357,0.642895282864437,0.6367600544019116,0.642895282864437,5.6871434699112795,0.8034159593441689,5.8849428537343895,130,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 16 2016,2016-03-16,5.523,0.6309599084606373,0.6147496690484588,0.6309599084606373,5.6871434699112795,0.8034159593441689,5.8849428537343895,92,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 17 2016,2016-03-17,5.642,0.6204038272504409,0.5949492687926005,0.6204038272504409,5.6871434699112795,0.8034159593441689,5.8849428537343895,109,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 18 2016,2016-03-18,5.53,0.6096905650061112,0.5746442536838671,0.6096905650061112,5.6871434699112795,0.8034159593441689,5.8849428537343895,131,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 19 2016,2016-03-19,5.574,0.587081487030372,0.5554288541098846,0.599687596089185,5.6871434699112795,0.8034159593441689,5.8849428537343895,126,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 20 2016,2016-03-20,5.48,0.5772782601615725,0.5366103154116483,0.5899360057899663,5.6871434699112795,0.8034159593441689,5.8849428537343895,157,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 21 2016,2016-03-21,5.539,0.5498988830768754,0.5185900148165898,0.5807308939707969,5.6871434699112795,0.8034159593441689,5.8849428537343895,117,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 22 2016,2016-03-22,5.448,0.5312645519305148,0.5013105545893854,0.5718964667030657,5.6871434699112795,0.8034159593441689,5.8849428537343895,110,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 23 2016,2016-03-23,5.588,0.509738670932153,0.4850344701994671,0.5637063840289178,5.6871434699112795,0.8034159593441689,5.8849428537343895,103,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 24 2016,2016-03-24,5.47,0.4311569519808056,0.46888236023068774,0.5556009844917967,5.6871434699112795,0.8034159593441689,5.8849428537343895,108,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 25 2016,2016-03-25,4.879,0.3928438738168148,0.47932611587054136,0.5568133808926838,5.6871434699112795,0.8034159593441689,5.8849428537343895,137,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 26 2016,2016-03-26,4.795,0.33815931088797324,0.49251034732052906,0.5600008458640228,5.6871434699112795,0.8034159593441689,5.8849428537343895,158,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 27 2016,2016-03-27,4.95,0.33608428232749177,0.4903585363264221,0.5583727768209485,5.6871434699112795,0.8034159593441689,5.8849428537343895,157,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 28 2016,2016-03-28,4.86,0.33937478011677497,0.492165807775079,0.5586930238259601,5.6871434699112795,0.8034159593441689,5.8849428537343895,138,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 29 2016,2016-03-29,4.949,0.34224711110171585,0.48652294354420555,0.5566211228387258,5.6871434699112795,0.8034159593441689,5.8849428537343895,155,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 30 2016,2016-03-30,5.079,0.3359314790559061,0.4745168794365924,0.5521866930835829,5.6871434699112795,0.8034159593441689,5.8849428537343895,153,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Mar 31 2016,2016-03-31,5.423,0.33424573691174764,0.4596844083235807,0.5455810957176116,5.6871434699112795,0.8034159593441689,5.8849428537343895,162,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 01 2016,2016-04-01,5.601,0.34178829234133856,0.45009286869233617,0.5400130469804326,5.6871434699112795,0.8034159593441689,5.8849428537343895,208,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 02 2016,2016-04-02,5.592,0.3461591953216702,0.43990512533831555,0.5345381816828126,5.6871434699112795,0.8034159593441689,5.8849428537343895,224,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 03 2016,2016-04-03,5.336,0.34668247256186513,0.4254245917723467,0.5286874824565834,5.6871434699112795,0.8034159593441689,5.8849428537343895,253,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 04 2016,2016-04-04,5.358,0.3434290570720226,0.41141139483900396,0.522967200574726,5.6871434699112795,0.8034159593441689,5.8849428537343895,190,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 05 2016,2016-04-05,5.625,0.33376821746311497,0.4036608204173324,0.5183018161326303,5.6871434699112795,0.8034159593441689,5.8849428537343895,166,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 06 2016,2016-04-06,5.383,0.30159202289825526,0.39038957206375724,0.5128943994293429,5.6871434699112795,0.8034159593441689,5.8849428537343895,160,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 07 2016,2016-04-07,5.522,0.27543632261575784,0.37943312085346326,0.5078633513785665,5.6871434699112795,0.8034159593441689,5.8849428537343895,152,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 08 2016,2016-04-08,5.571,0.2563784827882046,0.3700295259026083,0.5032261355786399,5.6871434699112795,0.8034159593441689,5.8849428537343895,204,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 09 2016,2016-04-09,5.775,0.2627845496604208,0.37039459009628045,0.5007046347116425,5.6871434699112795,0.8034159593441689,5.8849428537343895,186,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 10 2016,2016-04-10,5.625,0.2645685470571935,0.3619558272052591,0.49661905907883586,5.6871434699112795,0.8034159593441689,5.8849428537343895,189,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 11 2016,2016-04-11,5.282,0.2652287865134602,0.3520387821024479,0.49232284500892287,5.6871434699112795,0.8034159593441689,5.8849428537343895,184,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 12 2016,2016-04-12,5.161,0.2661720124841928,0.34663892170340393,0.4890609375869234,5.6871434699112795,0.8034159593441689,5.8849428537343895,153,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 13 2016,2016-04-13,5.181,0.26850954305693464,0.33987970062470635,0.4856657443754297,5.6871434699112795,0.8034159593441689,5.8849428537343895,129,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 14 2016,2016-04-14,5.208,0.27013017083510393,0.3318567023105355,0.48211255822369165,5.6871434699112795,0.8034159593441689,5.8849428537343895,137,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 15 2016,2016-04-15,5.301,0.2686886011125447,0.3215438865871937,0.4780961588259097,5.6871434699112795,0.8034159593441689,5.8849428537343895,177,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 16 2016,2016-04-16,5.164,0.2653925502856596,0.31536112564522,0.47505791642977063,5.6871434699112795,0.8034159593441689,5.8849428537343895,232,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 17 2016,2016-04-17,5.117,0.2659955578230753,0.3109915199416553,0.4725116669710165,5.6871434699112795,0.8034159593441689,5.8849428537343895,175,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 18 2016,2016-04-18,4.938,0.2709998515501983,0.31745437198283166,0.47232895189456064,5.6871434699112795,0.8034159593441689,5.8849428537343895,176,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 19 2016,2016-04-19,4.99,0.27493050323526286,0.31779025535562627,0.47126538061214657,5.6871434699112795,0.8034159593441689,5.8849428537343895,168,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 20 2016,2016-04-20,5.0,0.27573043849499634,0.3161874507759984,0.47001261871480865,5.6871434699112795,0.8034159593441689,5.8849428537343895,163,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 21 2016,2016-04-21,4.965,0.2792009452277894,0.3156382252997906,0.46918455095744876,5.6871434699112795,0.8034159593441689,5.8849428537343895,156,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 22 2016,2016-04-22,4.829,0.28247361589741393,0.3235185443983534,0.4704296716423598,5.6871434699112795,0.8034159593441689,5.8849428537343895,185,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 23 2016,2016-04-23,5.084,0.27999043702881155,0.31502070213886985,0.46810368648982176,5.6871434699112795,0.8034159593441689,5.8849428537343895,190,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 24 2016,2016-04-24,4.936,0.27779476423158417,0.3128680357998828,0.46747265621183026,5.6871434699112795,0.8034159593441689,5.8849428537343895,200,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 25 2016,2016-04-25,4.662,0.2857583598600113,0.3313383174182751,0.47156954295785314,5.6871434699112795,0.8034159593441689,5.8849428537343895,173,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 26 2016,2016-04-26,4.65,0.30025376432029005,0.34555384998173777,0.47555144102455266,5.6871434699112795,0.8034159593441689,5.8849428537343895,172,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 27 2016,2016-04-27,4.667,0.3098282876305687,0.3539964204385521,0.47883545845445896,5.6871434699112795,0.8034159593441689,5.8849428537343895,175,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 28 2016,2016-04-28,4.843,0.3133634663916072,0.34853004412564403,0.4788657070540279,5.6871434699112795,0.8034159593441689,5.8849428537343895,269,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 29 2016,2016-04-29,5.26,0.31278300105204715,0.3398601639348996,0.47553499708297414,5.6871434699112795,0.8034159593441689,5.8849428537343895,248,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Apr 30 2016,2016-04-30,5.171,0.3100045253655579,0.32921680650031404,0.47254176931176384,5.6871434699112795,0.8034159593441689,5.8849428537343895,264,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 01 2016,2016-05-01,5.079,0.3008421608537019,0.3184741059523208,0.47011345590367404,5.6871434699112795,0.8034159593441689,5.8849428537343895,227,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 02 2016,2016-05-02,4.973,0.29242439635947765,0.3096915436468183,0.46858783171998397,5.6871434699112795,0.8034159593441689,5.8849428537343895,190,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 03 2016,2016-05-03,5.015,0.2914518650740981,0.300167406460672,0.4666809757831304,5.6871434699112795,0.8034159593441689,5.8849428537343895,186,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 04 2016,2016-05-04,5.01,0.2895807135414411,0.2909752787540356,0.46482623812269896,5.6871434699112795,0.8034159593441689,5.8849428537343895,190,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 05 2016,2016-05-05,4.953,0.275868628154775,0.28329847565478833,0.46348729812636236,5.6871434699112795,0.8034159593441689,5.8849428537343895,182,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 06 2016,2016-05-06,4.849,0.2749057706899184,0.2797431275549857,0.4632653471704926,5.6871434699112795,0.8034159593441689,5.8849428537343895,186,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 07 2016,2016-05-07,4.768,0.2687007928755534,0.2802335253631131,0.4640371805201209,5.6871434699112795,0.8034159593441689,5.8849428537343895,213,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 08 2016,2016-05-08,4.725,0.2582335862305056,0.2823210559120023,0.46531373957209543,5.6871434699112795,0.8034159593441689,5.8849428537343895,183,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 09 2016,2016-05-09,4.713,0.2245007462291997,0.28368404363112437,0.4666308021126306,5.6871434699112795,0.8034159593441689,5.8849428537343895,162,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 10 2016,2016-05-10,4.813,0.19390939050013498,0.27836851433910614,0.4665011279517475,5.6871434699112795,0.8034159593441689,5.8849428537343895,168,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 11 2016,2016-05-11,4.656,0.19362717167069046,0.28178744898823654,0.4684365985016913,5.6871434699112795,0.8034159593441689,5.8849428537343895,169,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 12 2016,2016-05-12,4.421,0.212801426514091,0.3048210558939309,0.4744253667031607,5.6871434699112795,0.8034159593441689,5.8849428537343895,151,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 13 2016,2016-05-13,4.361,0.2314748043685666,0.3275404865592409,0.48124894968528226,5.6871434699112795,0.8034159593441689,5.8849428537343895,206,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 14 2016,2016-05-14,4.437,0.23923345016563932,0.3368543987005658,0.48610150161706456,5.6871434699112795,0.8034159593441689,5.8849428537343895,249,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 15 2016,2016-05-15,4.312,0.24699776396213147,0.3539622508436687,0.4930961168308332,5.6871434699112795,0.8034159593441689,5.8849428537343895,206,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 16 2016,2016-05-16,4.507,0.2468983782761562,0.35173501987314887,0.49606181912774006,5.6871434699112795,0.8034159593441689,5.8849428537343895,163,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 17 2016,2016-05-17,4.109,0.2728039252085433,0.3825421290831361,0.5067609079760238,5.6871434699112795,0.8034159593441689,5.8849428537343895,160,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 18 2016,2016-05-18,3.908,0.315059899431644,0.4273633379153348,0.5217876937163209,5.6871434699112795,0.8034159593441689,5.8849428537343895,156,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 19 2016,2016-05-19,3.925,0.3461922411263488,0.45738908329828687,0.5352720711541639,5.6871434699112795,0.8034159593441689,5.8849428537343895,190,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 20 2016,2016-05-20,4.19,0.3550768234828969,0.45759315466908534,0.5419852553935839,5.6871434699112795,0.8034159593441689,5.8849428537343895,199,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 21 2016,2016-05-21,4.275,0.3591764030469408,0.45128720511135434,0.5467435436441718,5.6871434699112795,0.8034159593441689,5.8849428537343895,197,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 22 2016,2016-05-22,4.154,0.3698581026447103,0.4508106780060185,0.5533629444264202,5.6871434699112795,0.8034159593441689,5.8849428537343895,201,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 23 2016,2016-05-23,4.193,0.3693745957074113,0.44640853833060423,0.5588720532732195,5.6871434699112795,0.8034159593441689,5.8849428537343895,169,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 24 2016,2016-05-24,4.078,0.37702745563001216,0.4476755790058793,0.5661328708046354,5.6871434699112795,0.8034159593441689,5.8849428537343895,151,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 25 2016,2016-05-25,4.11,0.38669930252678575,0.44499526167296033,0.5723686721923346,5.6871434699112795,0.8034159593441689,5.8849428537343895,142,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 26 2016,2016-05-26,4.058,0.3974749048682063,0.4439943612199922,0.5791629018443856,5.6871434699112795,0.8034159593441689,5.8849428537343895,149,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 27 2016,2016-05-27,4.008,0.4088947030237845,0.44443099032228617,0.5864640748682828,5.6871434699112795,0.8034159593441689,5.8849428537343895,189,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 28 2016,2016-05-28,4.019,0.4147181288981356,0.44233931672745336,0.5931383132237042,5.6871434699112795,0.8034159593441689,5.8849428537343895,214,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 29 2016,2016-05-29,4.054,0.39673657840394116,0.43696496730681916,0.5988290286000492,5.6871434699112795,0.8034159593441689,5.8849428537343895,180,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 30 2016,2016-05-30,4.117,0.37796125812530845,0.4279740106149837,0.6031980916331358,5.6871434699112795,0.8034159593441689,5.8849428537343895,179,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
May 31 2016,2016-05-31,4.185,0.35952139961565105,0.4164924055734472,0.6063370143432267,5.6871434699112795,0.8034159593441689,5.8849428537343895,147,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 01 2016,2016-06-01,3.98,0.3502083796761426,0.4137250457043867,0.6123777286942531,5.6871434699112795,0.8034159593441689,5.8849428537343895,252,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 02 2016,2016-06-02,3.901,0.3375709529504108,0.4144649636155124,0.6194050494418283,5.6871434699112795,0.8034159593441689,5.8849428537343895,209,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 03 2016,2016-06-03,3.9,0.3204461491151741,0.4134604261672819,0.6260591950257157,5.6871434699112795,0.8034159593441689,5.8849428537343895,195,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 04 2016,2016-06-04,3.884,0.3030627946008047,0.41190383532377955,0.6326120106670058,5.6871434699112795,0.8034159593441689,5.8849428537343895,218,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 05 2016,2016-06-05,3.836,0.2906225600564721,0.41183140056768475,0.639599357746842,5.6871434699112795,0.8034159593441689,5.8849428537343895,214,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 06 2016,2016-06-06,3.76,0.28324525135256406,0.41503932835368246,0.6474900976247445,5.6871434699112795,0.8034159593441689,5.8849428537343895,180,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 07 2016,2016-06-07,3.708,0.2773461176319235,0.41957687600576465,0.6558500410390136,5.6871434699112795,0.8034159593441689,5.8849428537343895,160,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 08 2016,2016-06-08,3.665,0.270209463237266,0.42461301215599195,0.6645053026250874,5.6871434699112795,0.8034159593441689,5.8849428537343895,178,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 09 2016,2016-06-09,3.746,0.2445017946481972,0.4219038609712286,0.6713573969390507,5.6871434699112795,0.8034159593441689,5.8849428537343895,181,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 10 2016,2016-06-10,3.88,0.22165155682661022,0.4120177786724467,0.6758753419074244,5.6871434699112795,0.8034159593441689,5.8849428537343895,197,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 11 2016,2016-06-11,3.804,0.21514898339860392,0.4049996687289361,0.6812254188176812,5.6871434699112795,0.8034159593441689,5.8849428537343895,188,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 12 2016,2016-06-12,3.769,0.21137757251160938,0.3990834578178866,0.6868051540576695,5.6871434699112795,0.8034159593441689,5.8849428537343895,184,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 13 2016,2016-06-13,3.791,0.19955664652522737,0.3915804576483604,0.6917915849187077,5.6871434699112795,0.8034159593441689,5.8849428537343895,181,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 14 2016,2016-06-14,3.936,0.19051116961245856,0.3795902434326092,0.694672518276668,5.6871434699112795,0.8034159593441689,5.8849428537343895,154,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 15 2016,2016-06-15,3.881,0.1633313534948599,0.36905359770235124,0.6980561708088605,5.6871434699112795,0.8034159593441689,5.8849428537343895,156,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 16 2016,2016-06-16,3.941,0.16093742626373087,0.35751611702122754,0.7005607813268828,5.6871434699112795,0.8034159593441689,5.8849428537343895,291,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 17 2016,2016-06-17,4.165,0.1651239207243532,0.34778198233738167,0.7007241324370194,5.6871434699112795,0.8034159593441689,5.8849428537343895,295,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 18 2016,2016-06-18,4.434,0.18585235766746475,0.3514943831193797,0.6989998913616222,5.6871434699112795,0.8034159593441689,5.8849428537343895,307,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 19 2016,2016-06-19,4.425,0.1994329345977728,0.35249713830839924,0.6973278287575331,5.6871434699112795,0.8034159593441689,5.8849428537343895,240,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 20 2016,2016-06-20,4.207,0.1964290079708046,0.3424982172350496,0.6970699892352793,5.6871434699112795,0.8034159593441689,5.8849428537343895,229,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 21 2016,2016-06-21,4.011,0.1939384426569689,0.33177709421818524,0.6984838698116772,5.6871434699112795,0.8034159593441689,5.8849428537343895,190,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
Jun 22 2016,2016-06-22,3.723,0.19524603988796868,0.33306000826653165,0.7030494425025695,5.6871434699112795,0.8034159593441689,5.8849428537343895,240,AWP | Elite Build,AWP,Elite Build,Battle-Scarred,0,1,0
