date,py_date,median_price,rolling_30day_sd,ewm_30day_sd,expanding_sd,total_sd,pre_sd,post_sd,volume_sold,item,equip,skin,wear,stattrak,treated_unit,post_treat
Feb 18 2016,2016-02-18,37.57,,,,7.366376181422808,4.833764557202185,7.80014536079391,67,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 19 2016,2016-02-19,28.967,6.083239638547872,6.08323963854787,6.083239638547872,7.366376181422808,4.833764557202185,7.80014536079391,64,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 20 2016,2016-02-20,31.485,4.423029843896605,5.159077066128287,4.423029843896605,7.366376181422808,4.833764557202185,7.80014536079391,50,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 21 2016,2016-02-21,33.01,3.6152942711025178,4.494251855832091,3.6152942711025178,7.366376181422808,4.833764557202185,7.80014536079391,45,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 22 2016,2016-02-22,38.505,4.0507241698244565,3.965510273304444,4.0507241698244565,7.366376181422808,4.833764557202185,7.80014536079391,18,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 23 2016,2016-02-23,39.137,4.205331425702383,3.653880471693781,4.205331425702383,7.366376181422808,4.833764557202185,7.80014536079391,18,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 24 2016,2016-02-24,35.856,3.8604465816177074,3.3348879312979696,3.8604465816177074,7.366376181422808,4.833764557202185,7.80014536079391,28,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 25 2016,2016-02-25,37.271,3.6684335869881695,3.0789366361312256,3.6684335869881695,7.366376181422808,4.833764557202185,7.80014536079391,27,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 26 2016,2016-02-26,32.764,3.528206980889872,3.1119221015459413,3.528206980889872,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 27 2016,2016-02-27,28.963,3.827730276112293,3.6759667307211226,3.827730276112293,7.366376181422808,4.833764557202185,7.80014536079391,50,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 28 2016,2016-02-28,31.563,3.7274537104619268,3.6934204616569035,3.7274537104619268,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Feb 29 2016,2016-02-29,28.639,3.8878392183678083,4.030366032143037,3.8878392183678083,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 01 2016,2016-03-01,28.21,4.015873168775669,4.301461021074994,4.015873168775669,7.366376181422808,4.833764557202185,7.80014536079391,42,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 02 2016,2016-03-02,30.904,3.9079216870464455,4.2328187316228485,3.9079216870464455,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 03 2016,2016-03-03,30.61,3.8185423072660822,4.178153035419702,3.8185423072660822,7.366376181422808,4.833764557202185,7.80014536079391,33,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 04 2016,2016-03-04,31.746,3.70026640482367,4.053140963440934,3.70026640482367,7.366376181422808,4.833764557202185,7.80014536079391,28,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 05 2016,2016-03-05,30.27,3.635962695159049,4.014819946117222,3.635962695159049,7.366376181422808,4.833764557202185,7.80014536079391,40,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 06 2016,2016-03-06,29.401,3.610811775275833,4.027078216850841,3.610811775275833,7.366376181422808,4.833764557202185,7.80014536079391,40,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 07 2016,2016-03-07,27.975,3.6589457569949846,4.136304862914336,3.6589457569949846,7.366376181422808,4.833764557202185,7.80014536079391,47,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 08 2016,2016-03-08,28.617,3.653084987197017,4.152324109655373,3.653084987197017,7.366376181422808,4.833764557202185,7.80014536079391,38,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 09 2016,2016-03-09,29.795,3.595124439200033,4.075785924899082,3.595124439200033,7.366376181422808,4.833764557202185,7.80014536079391,36,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 10 2016,2016-03-10,30.874,3.5161794594903726,3.952530773493671,3.5161794594903726,7.366376181422808,4.833764557202185,7.80014536079391,15,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 11 2016,2016-03-11,29.844,3.4623743755124963,3.872654426387231,3.4623743755124963,7.366376181422808,4.833764557202185,7.80014536079391,25,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 12 2016,2016-03-12,27.966,3.4766832426272645,3.9027079837104535,3.4766832426272645,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 13 2016,2016-03-13,27.816,3.4894195639580725,3.9210785873165985,3.4894195639580725,7.366376181422808,4.833764557202185,7.80014536079391,35,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 14 2016,2016-03-14,27.042,3.529437000211443,3.9757051049842524,3.529437000211443,7.366376181422808,4.833764557202185,7.80014536079391,28,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 15 2016,2016-03-15,32.184,3.464721071394364,3.8399222785600715,3.464721071394364,7.366376181422808,4.833764557202185,7.80014536079391,22,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 16 2016,2016-03-16,29.951,3.4105100882667565,3.7295909707614974,3.4105100882667565,7.366376181422808,4.833764557202185,7.80014536079391,27,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 17 2016,2016-03-17,27.977,3.406072064543997,3.7083231065329487,3.406072064543997,7.366376181422808,4.833764557202185,7.80014536079391,32,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 18 2016,2016-03-18,29.962,3.3545027251939055,3.596058949296341,3.3545027251939055,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 19 2016,2016-03-19,29.131,3.1460125291125807,3.5113587984072434,3.318240999239245,7.366376181422808,4.833764557202185,7.80014536079391,35,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 20 2016,2016-03-20,29.098,3.143353839598645,3.427297116189874,3.283352810224831,7.366376181422808,4.833764557202185,7.80014536079391,32,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 21 2016,2016-03-21,29.847,3.146806174337813,3.3223899858120083,3.238247636851722,7.366376181422808,4.833764557202185,7.80014536079391,33,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 22 2016,2016-03-22,28.145,3.1559809085928108,3.2815411410647464,3.2261376775669013,7.366376181422808,4.833764557202185,7.80014536079391,35,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 23 2016,2016-03-23,27.86,2.825692871190861,3.2491045882346725,3.220004435249308,7.366376181422808,4.833764557202185,7.80014536079391,38,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 24 2016,2016-03-24,27.779,2.318076704769582,3.213280057307323,3.2140784262613655,7.366376181422808,4.833764557202185,7.80014536079391,25,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 25 2016,2016-03-25,27.84,2.0596715629260984,3.16749268091309,3.204848536146388,7.366376181422808,4.833764557202185,7.80014536079391,36,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 26 2016,2016-03-26,29.691,1.477496595091084,3.0642356392124492,3.1651825078446687,7.366376181422808,4.833764557202185,7.80014536079391,22,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 27 2016,2016-03-27,28.899,1.3373031400941773,2.9782924801237223,3.1356545690251534,7.366376181422808,4.833764557202185,7.80014536079391,32,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 28 2016,2016-03-28,27.795,1.3637899562717075,2.9341797691510205,3.126670978791243,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 29 2016,2016-03-29,28.991,1.2921853044047282,2.8461010666159656,3.096608951543687,7.366376181422808,4.833764557202185,7.80014536079391,43,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 30 2016,2016-03-30,30.624,1.315101274016393,2.758890545139426,3.058685805561412,7.366376181422808,4.833764557202185,7.80014536079391,21,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Mar 31 2016,2016-03-31,31.722,1.3762378352996782,2.7067429855000484,3.0278893432326055,7.366376181422808,4.833764557202185,7.80014536079391,35,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 01 2016,2016-04-01,31.662,1.4123279811845337,2.6498107956682238,2.9974354581177223,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 02 2016,2016-04-02,31.925,1.4713001088645468,2.602026844809975,2.970315488974262,7.366376181422808,4.833764557202185,7.80014536079391,45,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 03 2016,2016-04-03,31.485,1.4577462434679183,2.535650510014802,2.940188360984316,7.366376181422808,4.833764557202185,7.80014536079391,44,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 04 2016,2016-04-04,32.021,1.5269603450654174,2.4889999943406877,2.9154840519490572,7.366376181422808,4.833764557202185,7.80014536079391,42,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 05 2016,2016-04-05,34.141,1.749269650224173,2.5802986591690895,2.928600100972894,7.366376181422808,4.833764557202185,7.80014536079391,32,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 06 2016,2016-04-06,33.771,1.876539149114912,2.613537318415151,2.930984543990099,7.366376181422808,4.833764557202185,7.80014536079391,37,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 07 2016,2016-04-07,33.232,1.9621397714634445,2.5959591366950097,2.92189034848528,7.366376181422808,4.833764557202185,7.80014536079391,17,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 08 2016,2016-04-08,33.11,2.0436535867799654,2.564537810681561,2.910388344143354,7.366376181422808,4.833764557202185,7.80014536079391,32,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 09 2016,2016-04-09,32.501,2.086601542078002,2.5030488279503387,2.8907317219669704,7.366376181422808,4.833764557202185,7.80014536079391,46,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 10 2016,2016-04-10,31.625,2.1033427639732465,2.4227101626022343,2.8645936588264456,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 11 2016,2016-04-11,30.762,2.0628115923460477,2.3464739324687915,2.837503822068188,7.366376181422808,4.833764557202185,7.80014536079391,30,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 12 2016,2016-04-12,29.791,2.0121482555465056,2.2977990912051016,2.815073248773395,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 13 2016,2016-04-13,30.934,1.9144652757242733,2.2229273188082903,2.7893741093797235,7.366376181422808,4.833764557202185,7.80014536079391,24,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 14 2016,2016-04-14,30.919,1.8894500960642584,2.15055735971812,2.764361729006715,7.366376181422808,4.833764557202185,7.80014536079391,30,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 15 2016,2016-04-15,30.707,1.887748144912526,2.082419379805213,2.740100092890087,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 16 2016,2016-04-16,30.291,1.828946436562888,2.0238428497716794,2.717447963592575,7.366376181422808,4.833764557202185,7.80014536079391,39,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 17 2016,2016-04-17,30.175,1.8270295230676796,1.9691767633918773,2.695802460951948,7.366376181422808,4.833764557202185,7.80014536079391,31,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 18 2016,2016-04-18,29.442,1.8195725862277983,1.9429183826617882,2.679364869789944,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 19 2016,2016-04-19,28.155,1.8535193353285462,1.9987658882487473,2.6789825302544963,7.366376181422808,4.833764557202185,7.80014536079391,47,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 20 2016,2016-04-20,28.87,1.8743642554394166,1.9867884311097792,2.66827098764201,7.366376181422808,4.833764557202185,7.80014536079391,40,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 21 2016,2016-04-21,29.401,1.833636813648714,1.944284450154009,2.6524466333664747,7.366376181422808,4.833764557202185,7.80014536079391,44,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 22 2016,2016-04-22,29.096,1.7846357434450317,1.9133844138487939,2.6395095550776393,7.366376181422808,4.833764557202185,7.80014536079391,37,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 23 2016,2016-04-23,29.394,1.7204800973906185,1.8682313376565987,2.624150460287756,7.366376181422808,4.833764557202185,7.80014536079391,33,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 24 2016,2016-04-24,29.256,1.659576651459328,1.82759082126914,2.6101014221176144,7.366376181422808,4.833764557202185,7.80014536079391,32,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 25 2016,2016-04-25,29.396,1.6664958421652343,1.7814347787084248,2.5951603892640764,7.366376181422808,4.833764557202185,7.80014536079391,28,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 26 2016,2016-04-26,29.457,1.64907343855485,1.7336361259033044,2.5800237687003635,7.366376181422808,4.833764557202185,7.80014536079391,42,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 27 2016,2016-04-27,29.198,1.582750350265119,1.6944448977743212,2.567012049346611,7.366376181422808,4.833764557202185,7.80014536079391,35,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 28 2016,2016-04-28,28.321,1.61265402151343,1.6988644353187827,2.563103409016475,7.366376181422808,4.833764557202185,7.80014536079391,43,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 29 2016,2016-04-29,29.875,1.619858020243477,1.6434194800078787,2.54635358818223,7.366376181422808,4.833764557202185,7.80014536079391,41,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Apr 30 2016,2016-04-30,28.365,1.6613731946657913,1.6404680668905203,2.5417724434909807,7.366376181422808,4.833764557202185,7.80014536079391,39,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 01 2016,2016-05-01,27.807,1.722435618802496,1.6693686580018454,2.544248004638648,7.366376181422808,4.833764557202185,7.80014536079391,44,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 02 2016,2016-05-02,27.962,1.7568330898941786,1.6752746416048394,2.544004126505238,7.366376181422808,4.833764557202185,7.80014536079391,39,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 03 2016,2016-05-03,28.561,1.770758511414566,1.6423787509663983,2.5364695179399654,7.366376181422808,4.833764557202185,7.80014536079391,33,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 04 2016,2016-05-04,28.668,1.7588008130541692,1.6042528907854061,2.527861637897818,7.366376181422808,4.833764557202185,7.80014536079391,27,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 05 2016,2016-05-05,29.302,1.5897696298086965,1.5524841205165172,2.51459887573098,7.366376181422808,4.833764557202185,7.80014536079391,30,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 06 2016,2016-05-06,30.112,1.4170821182574675,1.509483625015959,2.4986505588137065,7.366376181422808,4.833764557202185,7.80014536079391,22,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 07 2016,2016-05-07,27.996,1.3003524230522854,1.5097045976953474,2.497350641623077,7.366376181422808,4.833764557202185,7.80014536079391,40,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 08 2016,2016-05-08,27.088,1.2091537275225321,1.5735299682923973,2.508419768598117,7.366376181422808,4.833764557202185,7.80014536079391,36,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 09 2016,2016-05-09,27.313,1.1254925506680291,1.5995730084932687,2.5151145587729964,7.366376181422808,4.833764557202185,7.80014536079391,38,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 10 2016,2016-05-10,27.37,1.0865188764883709,1.610203888677928,2.5202982169887296,7.366376181422808,4.833764557202185,7.80014536079391,31,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 11 2016,2016-05-11,27.826,1.0667590599353072,1.586707143473122,2.5191314060931123,7.366376181422808,4.833764557202185,7.80014536079391,25,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 12 2016,2016-05-12,27.184,1.1084167174579556,1.5977206192136595,2.5258366039512428,7.366376181422808,4.833764557202185,7.80014536079391,31,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 13 2016,2016-05-13,27.158,1.0893516604980813,1.6019681744353875,2.5322318674454283,7.366376181422808,4.833764557202185,7.80014536079391,30,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 14 2016,2016-05-14,27.799,1.0295563853304768,1.567123426049947,2.530180248694704,7.366376181422808,4.833764557202185,7.80014536079391,39,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 15 2016,2016-05-15,25.274,1.1396084304324414,1.738089934512809,2.56840637552206,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 16 2016,2016-05-16,28.505,1.090411713871039,1.6811269112657685,2.559219094638362,7.366376181422808,4.833764557202185,7.80014536079391,30,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 17 2016,2016-05-17,26.15,1.121528067302455,1.725531174737238,2.5779903758843465,7.366376181422808,4.833764557202185,7.80014536079391,23,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 18 2016,2016-05-18,25.272,1.233492364242169,1.8337177552464292,2.6114642093989957,7.366376181422808,4.833764557202185,7.80014536079391,33,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 19 2016,2016-05-19,26.28,1.2826045896274472,1.8319671318411859,2.6253564825856635,7.366376181422808,4.833764557202185,7.80014536079391,19,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 20 2016,2016-05-20,24.459,1.4394913633146724,1.9802669836018374,2.671884544899279,7.366376181422808,4.833764557202185,7.80014536079391,31,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 21 2016,2016-05-21,23.058,1.6727617387072276,2.2481988293461606,2.7487209742497494,7.366376181422808,4.833764557202185,7.80014536079391,38,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 22 2016,2016-05-22,23.931,1.7943844335599803,2.3469757171123606,2.79947085033606,7.366376181422808,4.833764557202185,7.80014536079391,36,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 23 2016,2016-05-23,23.693,1.8979622902398485,2.436660268472945,2.852118007004128,7.366376181422808,4.833764557202185,7.80014536079391,39,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 24 2016,2016-05-24,22.71,2.0499465257954346,2.58998890741312,2.923913947565203,7.366376181422808,4.833764557202185,7.80014536079391,26,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 25 2016,2016-05-25,22.694,2.1646911637651334,2.7005600659138507,2.9912509949924186,7.366376181422808,4.833764557202185,7.80014536079391,33,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 26 2016,2016-05-26,21.595,2.3244338240309075,2.8821712630966965,3.0809033789435025,7.366376181422808,4.833764557202185,7.80014536079391,33,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 27 2016,2016-05-27,21.807,2.4412158655675977,2.992003030924691,3.1591009828427428,7.366376181422808,4.833764557202185,7.80014536079391,39,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 28 2016,2016-05-28,23.529,2.4725774027608898,2.952691031163462,3.1965740871213124,7.366376181422808,4.833764557202185,7.80014536079391,28,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 29 2016,2016-05-29,24.352,2.402722010027664,2.876369179028035,3.218426291214721,7.366376181422808,4.833764557202185,7.80014536079391,28,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 30 2016,2016-05-30,26.016,2.365269066611953,2.7836571212937025,3.2185712630081493,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
May 31 2016,2016-05-31,23.621,2.3814024229432786,2.7401636419067206,3.249847159903583,7.366376181422808,4.833764557202185,7.80014536079391,24,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 01 2016,2016-06-01,24.326,2.365814580865247,2.6672838893382615,3.268684612608457,7.366376181422808,4.833764557202185,7.80014536079391,50,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 02 2016,2016-06-02,23.233,2.350427109389238,2.6386767597920175,3.303175550827825,7.366376181422808,4.833764557202185,7.80014536079391,36,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 03 2016,2016-06-03,22.236,2.3552817848841405,2.6650814427336598,3.3534292166935113,7.366376181422808,4.833764557202185,7.80014536079391,40,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 04 2016,2016-06-04,22.675,2.286092081893615,2.648505377110323,3.392994693374814,7.366376181422808,4.833764557202185,7.80014536079391,40,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 05 2016,2016-06-05,22.372,2.141964979268786,2.6415672208596916,3.4356060691457837,7.366376181422808,4.833764557202185,7.80014536079391,38,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 06 2016,2016-06-06,22.149,2.1180593386562867,2.6385503950144296,3.4797646450688147,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 07 2016,2016-06-07,21.639,2.1417181908914973,2.6582282957490095,3.5305754658969013,7.366376181422808,4.833764557202185,7.80014536079391,25,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 08 2016,2016-06-08,22.434,2.1089499214690983,2.6186948308389946,3.565238475844167,7.366376181422808,4.833764557202185,7.80014536079391,35,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 09 2016,2016-06-09,21.814,2.0809321267384253,2.607615918922279,3.6081162598633467,7.366376181422808,4.833764557202185,7.80014536079391,28,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 10 2016,2016-06-10,20.45,2.0726163389556453,2.6849685727361297,3.673314469571239,7.366376181422808,4.833764557202185,7.80014536079391,31,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 11 2016,2016-06-11,22.485,1.995695691220027,2.620796716317709,3.7010532687044573,7.366376181422808,4.833764557202185,7.80014536079391,39,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 12 2016,2016-06-12,22.014,1.9157734718391057,2.5741176389607276,3.734199178120265,7.366376181422808,4.833764557202185,7.80014536079391,36,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 13 2016,2016-06-13,22.147,1.7623040626394662,2.519411054263794,3.7637377117011726,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 14 2016,2016-06-14,22.888,1.7297856700666654,2.443114725337286,3.7820092728137813,7.366376181422808,4.833764557202185,7.80014536079391,34,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 15 2016,2016-06-15,22.237,1.440090428195216,2.3855201461430404,3.8076690200045347,7.366376181422808,4.833764557202185,7.80014536079391,22,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 16 2016,2016-06-16,19.535,1.4697921070448055,2.5072242581826196,3.8754685188885687,7.366376181422808,4.833764557202185,7.80014536079391,50,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 17 2016,2016-06-17,19.273,1.5451579304023377,2.6167692056012775,3.9445195999487903,7.366376181422808,4.833764557202185,7.80014536079391,26,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 18 2016,2016-06-18,18.678,1.5647193057373927,2.7472642476271205,4.021089247422943,7.366376181422808,4.833764557202185,7.80014536079391,53,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 19 2016,2016-06-19,18.764,1.6575873566203896,2.8314681265964414,4.091951791938208,7.366376181422808,4.833764557202185,7.80014536079391,40,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 20 2016,2016-06-20,18.389,1.795340880769194,2.918466722635541,4.165982535453886,7.366376181422808,4.833764557202185,7.80014536079391,50,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 21 2016,2016-06-21,17.95,1.9156818854410782,3.0128738341949246,4.244248722865849,7.366376181422808,4.833764557202185,7.80014536079391,38,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 22 2016,2016-06-22,19.043,1.9552817549855825,2.9998453505447022,4.299576102553692,7.366376181422808,4.833764557202185,7.80014536079391,29,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 23 2016,2016-06-23,17.107,2.1226803312100335,3.121073176450097,4.386123619803593,7.366376181422808,4.833764557202185,7.80014536079391,41,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 24 2016,2016-06-24,16.212,2.3257459809309102,3.2865333506419976,4.485365238400369,7.366376181422808,4.833764557202185,7.80014536079391,54,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 25 2016,2016-06-25,15.896,2.5301340859930015,3.4322658247878666,4.585404230081152,7.366376181422808,4.833764557202185,7.80014536079391,48,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 26 2016,2016-06-26,15.681,2.717681792923226,3.552485356247366,4.684213928851486,7.366376181422808,4.833764557202185,7.80014536079391,52,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 27 2016,2016-06-27,17.153,2.7597667253159486,3.531404851962634,4.751819183968858,7.366376181422808,4.833764557202185,7.80014536079391,37,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 28 2016,2016-06-28,16.688,2.7703979765145763,3.526876319126812,4.823831954685135,7.366376181422808,4.833764557202185,7.80014536079391,35,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
Jun 29 2016,2016-06-29,15.88,2.6918941092477056,3.5616381352639173,4.906031202608745,7.366376181422808,4.833764557202185,7.80014536079391,41,AWP | Elite Build,AWP,Elite Build,Field-Tested,1,1,0
